Region,Host,Allergien,Max Personen,Vorname,Nachname,Straße und Hausnummer,Postleitzahl und Ort,TUM Mail,Handynummer,Semester,Einwilligung in Daten-Weitergabe
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80336 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,81669 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80539 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,81825 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Ja,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,81373 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Ja,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80335 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80809 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80689 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80331 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80337 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80333 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80997 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Ja,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80686 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80339 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,81377 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Ja,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,81549 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,81249 München,<mail_address>,<phone_number>,<semester>,Ja
Innenstadt,Nein,<allergies>,<max_guests>,<vorname>,<nachname>,Straße 4,80803 München,<mail_address>,<phone_number>,<semester>,Ja
